match_id,tournament_name,season,tournament_id,date,level,surface,round,best_of,player_id,player_rank,player_elo_rating,opponent_id,opponent_rank,opponent_elo_rating,outcome,p_1st_in,o_1st_in,p_sv_pt,o_sv_pt,p_1st_won,o_1st_won,p_2nd_won,o_2nd_won,p_ace,o_ace,p_df,o_df,p_bp_sv,o_bp_sv,p_bp_fc,o_bp_fc,p_matches,o_matches,p_sv_gms
166539,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,5476,190.0,1664,5571,88.0,1834,,43.0,50.0,64.0,72.0,26.0,34.0,11.0,14.0,1.0,4.0,3.0,2.0,4.0,5.0,7.0,6.0,0,1,9.0
166540,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,4296,105.0,1694,4914,50.0,1931,,71.0,65.0,101.0,89.0,47.0,49.0,12.0,12.0,1.0,7.0,3.0,2.0,7.0,0.0,12.0,2.0,0,1,15.0
166541,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,6315,96.0,1797,4269,40.0,1964,,41.0,31.0,74.0,57.0,28.0,23.0,15.0,20.0,4.0,5.0,2.0,0.0,9.0,1.0,12.0,1.0,0,1,10.0
166542,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,6030,87.0,1801,5539,59.0,1894,,56.0,48.0,81.0,82.0,35.0,33.0,12.0,17.0,0.0,8.0,3.0,0.0,7.0,2.0,11.0,6.0,0,1,14.0
166543,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,6051,102.0,1625,4546,66.0,1847,,39.0,39.0,51.0,55.0,26.0,33.0,4.0,7.0,5.0,2.0,2.0,1.0,3.0,2.0,6.0,2.0,0,1,8.0
166544,Buenos Aires,2018,319,12/02/2018,B,C,R16,3,5793,10.0,1991,4198,69.0,1828,,86.0,70.0,133.0,106.0,52.0,45.0,26.0,14.0,3.0,4.0,3.0,7.0,10.0,3.0,14.0,9.0,0,1,16.0
166545,Buenos Aires,2018,319,12/02/2018,B,C,R16,3,5658,114.0,1807,5630,70.0,1892,,61.0,51.0,101.0,81.0,43.0,41.0,21.0,15.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,5.0,0,1,12.0
166546,Buenos Aires,2018,319,12/02/2018,B,C,R16,3,5070,20.0,1949,5370,51.0,1896,,63.0,42.0,91.0,77.0,44.0,37.0,14.0,19.0,5.0,19.0,2.0,2.0,6.0,4.0,9.0,5.0,0,1,14.0
166547,Buenos Aires,2018,319,12/02/2018,B,C,R16,3,5057,137.0,1826,6029,24.0,2024,,47.0,51.0,83.0,75.0,30.0,37.0,17.0,10.0,4.0,3.0,4.0,3.0,8.0,3.0,13.0,6.0,0,1,13.0
166548,Buenos Aires,2018,319,12/02/2018,B,C,R16,3,5571,88.0,1841,4789,43.0,2100,,47.0,56.0,69.0,66.0,25.0,32.0,8.0,5.0,1.0,1.0,1.0,2.0,6.0,2.0,11.0,5.0,0,1,9.0
