match_id,date,surface,level,round,best_of,player_id,opponent_id,player_rank,opponent_rank,player_elo_rating,opponent_elo_rating,player_age,opponent_age,player_height,opponent_height,outcome,p_matches,o_matches,p_sets,o_sets,p_games,o_games,p_tbs,o_tbs,p_ace,p_df,p_sv_pt,p_1st_in,p_1st_won,p_2nd_won,p_sv_gms,p_bp_sv,p_bp_fc,o_ace,o_df,o_sv_pt,o_1st_in,o_1st_won,o_2nd_won,o_sv_gms,o_bp_sv,o_bp_fc,minutes,p_upsets,o_upsets,p_avg_ace,p_avg_df,p_avg_sv_pt,p_avg_1st_in,p_avg_1st_won,p_avg_2nd_won,p_avg_sv_gms,p_avg_bp_sv,p_avg_bp_fc,o_avg_ace,o_avg_df,o_avg_sv_pt,o_avg_1st_in,o_avg_1st_won,o_avg_2nd_won,o_avg_sv_gms,o_avg_bp_sv,o_avg_bp_fc
166407,03/02/2018,C,D,RR,3,4466,6092,591.0,1082.0,1636,1516,33.12,25.09,185.0,,,1,0,2,0,12,6,0,0,2.0,4.0,64.0,36.0,26.0,12.0,9.0,7.0,9.0,3.0,5.0,81.0,50.0,28.0,12.0,9.0,13.0,18.0,74.0,0,0,1.5,2.14,59.14,33.64,22.07,11.29,9.29,3.57,6.79,4.14,2.36,57.0,35.36,25.64,10.79,9.43,2.64,4.86
168904,29/10/2018,H,M,R32,3,4728,5918,6.0,22.0,2162,1985,32.45,26.68,203.0,185.0,,1,0,2,1,18,15,1,1,18.0,4.0,106.0,73.0,63.0,17.0,17.0,3.0,3.0,6.0,7.0,103.0,54.0,43.0,30.0,16.0,2.0,3.0,135.0,0,0,12.63,3.01,81.89,52.91,40.65,15.43,13.29,3.4,5.15,6.07,3.08,83.92,51.28,37.75,17.33,13.13,3.83,5.98
168549,17/09/2018,H,B,R32,3,6407,5303,35.0,49.0,1979,1888,22.6,29.47,,185.0,,1,0,2,0,12,5,0,0,6.0,3.0,58.0,37.0,31.0,7.0,9.0,5.0,6.0,0.0,2.0,48.0,29.0,18.0,7.0,8.0,0.0,4.0,67.0,0,0,6.94,3.75,79.49,46.93,33.8,16.06,12.13,4.44,7.06,4.87,3.14,77.46,47.16,33.64,15.21,12.24,4.46,7.24
167303,30/04/2018,C,B,R32,3,6051,4921,59.0,19.0,1821,2029,25.58,30.93,,178.0,,1,0,2,1,17,12,0,0,3.0,2.0,83.0,60.0,41.0,12.0,15.0,5.0,8.0,4.0,1.0,87.0,50.0,30.0,20.0,14.0,6.0,11.0,109.0,1,0,3.27,2.22,74.22,49.05,32.63,11.63,11.61,3.88,7.27,5.22,2.39,71.51,45.29,33.27,13.88,11.49,3.32,5.27
167733,25/06/2018,G,B,R32,3,5718,5630,75.0,81.0,1910,1879,27.27,27.72,188.0,190.0,,1,0,2,0,12,10,1,0,5.0,2.0,72.0,53.0,40.0,10.0,11.0,3.0,4.0,2.0,12.0,91.0,54.0,38.0,15.0,11.0,10.0,12.0,107.0,0,0,9.85,4.21,85.62,50.21,37.63,18.06,13.26,3.9,6.2,5.93,3.16,82.31,51.83,38.83,17.03,13.25,3.25,5.07
167458,21/05/2018,C,B,QF,3,5438,5539,47.0,81.0,1983,1876,28.41,28.01,188.0,185.0,,1,0,2,0,12,7,0,0,6.0,0.0,60.0,42.0,34.0,9.0,10.0,2.0,2.0,9.0,2.0,53.0,29.0,21.0,14.0,9.0,3.0,5.0,76.0,0,0,8.7,2.97,80.85,48.05,36.22,17.15,12.7,3.68,5.66,7.98,2.96,79.1,48.31,35.87,16.85,12.56,3.6,5.64
166573,12/02/2018,H,B,R16,3,5166,5367,25.0,63.0,1986,1923,29.62,28.58,183.0,185.0,RET,1,0,1,1,17,12,0,1,4.0,1.0,97.0,67.0,51.0,16.0,15.0,6.0,7.0,10.0,3.0,93.0,65.0,46.0,15.0,14.0,5.0,8.0,120.0,0,0,4.6,2.66,78.66,47.62,32.87,15.68,12.25,4.33,7.33,7.09,3.13,78.34,47.05,33.72,15.59,12.3,3.95,6.73
168084,30/07/2018,H,B,R32,3,3852,5621,69.0,173.0,1968,1621,36.86,27.86,188.0,183.0,,1,0,2,0,12,10,1,0,12.0,0.0,62.0,44.0,37.0,13.0,11.0,0.0,0.0,6.0,0.0,61.0,41.0,35.0,11.0,11.0,0.0,1.0,75.0,0,0,10.36,3.35,82.41,48.43,36.9,17.71,12.99,3.98,6.07,7.72,2.95,81.41,50.39,37.19,17.41,13.03,3.67,5.71
168715,08/10/2018,H,M,R32,3,5044,6219,51.0,7.0,1888,2156,30.87,25.1,188.0,185.0,,1,0,2,1,18,16,1,1,14.0,3.0,126.0,83.0,59.0,22.0,17.0,6.0,9.0,12.0,3.0,119.0,61.0,50.0,27.0,17.0,5.0,9.0,165.0,1,0,5.84,4.68,78.05,47.58,33.59,13.98,12.12,4.24,7.43,6.44,2.94,75.29,45.46,32.88,15.75,12.07,3.77,6.12
167897,02/07/2018,G,G,R32,5,4742,45106,1.0,80.0,2413,1862,32.08,19.37,185.0,,,1,0,3,0,18,7,0,0,5.0,1.0,76.0,44.0,34.0,23.0,13.0,3.0,3.0,8.0,5.0,77.0,43.0,26.0,17.0,12.0,7.0,12.0,122.0,0,0,2.93,1.57,72.6,49.84,35.81,13.05,11.87,3.38,5.09,5.58,2.66,77.51,47.25,31.08,13.56,11.79,4.83,8.77
